city,SUM of estimated_annual_revenue,AVERAGE of occupancy_rate,COUNTA of id,,,COUNTA of id,SUM of estimated_annual_revenue,AVERAGE of price,AVERAGE of occupancy_rate,AVERAGE of revenue_per_available_day,Professional hosts,,,,,,,host_id,host_name,SUM of estimated_annual_revenue,COUNTA of id,AVERAGE of occupancy_rate,,,,
,,,,,,,,,,,,,,,,,,156295223,Abigael,$552.00,1,1.10%,,,,
,,,,,,,,,,,,,,,,,,1367620,Melodie,$550.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,207654671,Cindy,$545.00,1,1.40%,,,,
,,,,,,,,,,,,,,,,,,23626819,Reggie,$540.00,1,1.10%,,,,
,,,,,,,,,,,,,,,,,,3275373,Leanne,$530.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,2339049,Arianna Z,$526.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,275539448,Beatriz And Marco,$525.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,3294357,Rachel Grace,$525.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,259203888,Leslie,$520.00,2,0.55%,,,,
,,,,,,,,,,,,,,,,,,4425833,Alex,$518.00,1,1.90%,,,,
,,,,,,,,,,,,,,,,,,118604926,Sally,$517.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,126304003,Rifka,$514.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,40651701,Reya,$500.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,20245055,Sade,$500.00,1,2.70%,,,,
,,,,,,,,,,,,,,,,,,38068387,Xolie,$497.00,2,0.85%,,,,
,,,,,,,,,,,,,,,,,,132846718,Adriana,$495.00,1,1.40%,,,,
,,,,,,,,,,,,,,,,,,166794407,Bruna,$490.00,1,1.90%,,,,
,,,,,,,,,,,,,,,,,,46019410,Regina,$490.00,1,1.40%,,,,
,,,,,,,,,,,,,,,,,,39180767,Renu,$490.00,1,2.70%,,,,
,,,,,,,,,,,,,,,,,,83107409,Tatiana,$484.00,1,3.00%,,,,
,,,,,,,,,,,,,,,,,,165015729,Yoram,$480.00,1,1.60%,,,,
,,,,,,,,,,,,,,,,,,4819031,Lyudmila,$475.00,1,1.40%,,,,
,,,,,,,,,,,,,,,,,,831185,Andrew,$475.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,254768029,Christopher,$468.00,1,3.60%,,,,
,,,,,,,,,,,,,,,,,,28892525,Jennifer,$462.00,1,1.60%,,,,
,,,,,,,,,,,,,,,,,,195486791,Yamina,$460.00,1,1.40%,,,,
,,,,,,,,,,,,,,,,,,242715624,Elizabet,$450.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,145313608,Linda,$450.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,21923273,Saurabh,$450.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,19737506,Diondra,$450.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,3208464,Eric,$450.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,229603019,Angie Bruce,$448.00,1,2.20%,,,,
,,,,,,,,,,,,,,,,,,96423715,Linda,$448.00,1,1.90%,,,,
,,,,,,,,,,,,,,,,,,8167447,Martin,$435.00,4,1.25%,,,,
,,,,,,,,,,,,,,,,,,1159482,Bee,$430.00,1,2.70%,,,,
,,,,,,,,,,,,,,,,,,16082647,Mariam,$426.00,1,1.60%,,,,
,,,,,,,,,,,,,,,,,,204030892,Olivia,$423.00,1,2.50%,,,,
,,,,,,,,,,,,,,,,,,336537667,Moe,$420.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,331144779,Leslie,$420.00,1,1.90%,,,,
,,,,,,,,,,,,,,,,,,1764580,Margaret,$420.00,1,1.60%,,,,
,,,,,,,,,,,,,,,,,,1269205,Ginger Ray,$418.00,2,0.25%,,,,
,,,,,,,,,,,,,,,,,,19204818,"Tom And Wife, Mary",$416.00,1,1.10%,,,,
,,,,,,,,,,,,,,,,,,301836,Lana,$414.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,37839136,Vacasa Hawaii,$412.00,2,0.50%,,,,
,,,,,,,,,,,,,,,,,,45735396,Emrah,$410.00,1,11.20%,,,,
,,,,,,,,,,,,,,,,,,16441460,Charles,$405.00,1,2.50%,,,,
,,,,,,,,,,,,,,,,,,3665372,Asheville Abode,$405.00,1,2.50%,,,,
,,,,,,,,,,,,,,,,,,159610596,Wework,$400.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,57885474,Shully'S,$400.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,31141388,Mary Jo And Mike,$400.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,71276635,Joe,$399.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,150440720,Bruce,$398.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,169512,Charlotte,$392.00,1,1.10%,,,,
,,,,,,,,,,,,,,,,,,70572340,Anna,$390.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,214347105,Beekman,$389.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,75494904,Lynda Yi,$385.00,1,3.00%,,,,
,,,,,,,,,,,,,,,,,,57169534,Nals,$385.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,185244265,One Stop Property Shop,$380.00,1,1.40%,,,,
,,,,,,,,,,,,,,,,,,159471736,Andy,$380.00,2,0.30%,,,,
,,,,,,,,,,,,,,,,,,104764125,Marwen,$380.00,1,2.70%,,,,
,,,,,,,,,,,,,,,,,,50523476,Pamela,$375.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,2270348,Ken,$375.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,50839085,John,$371.00,1,1.90%,,,,
,,,,,,,,,,,,,,,,,,240915570,Boris,$370.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,2761772,Traci,$364.00,1,1.10%,,,,
,,,,,,,,,,,,,,,,,,47512514,Anna Alona,$360.00,1,1.40%,,,,
,,,,,,,,,,,,,,,,,,34313176,Eddie,$360.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,64777265,Joe,$350.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,18900641,David,$350.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,13684559,Peter,$350.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,10392690,Pochita,$350.00,1,1.90%,,,,
,,,,,,,,,,,,,,,,,,360195216,Jerry,$343.00,1,1.90%,,,,
,,,,,,,,,,,,,,,,,,332373946,Viktoria,$342.00,1,2.50%,,,,
,,,,,,,,,,,,,,,,,,1484844,Cynthia,$338.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,109918256,Michael,$336.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,47782497,Debbie,$336.00,1,1.90%,,,,
,,,,,,,,,,,,,,,,,,18253226,Stay Local Austin,$336.00,1,1.10%,,,,
,,,,,,,,,,,,,,,,,,6264764,Jeff And Jennifer,$330.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,243202376,Terrene,$328.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,348836817,Dania,$320.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,255636174,Lj Rose,$320.00,1,1.10%,,,,
,,,,,,,,,,,,,,,,,,26279689,Victoria,$320.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,139853,Victor,$320.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,39174467,Kauai,$318.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,30342817,Piter Stacy,$318.00,1,1.60%,,,,
,,,,,,,,,,,,,,,,,,79946214,Gopal,$316.00,1,1.10%,,,,
,,,,,,,,,,,,,,,,,,874515,Luke,$316.00,1,1.10%,,,,
,,,,,,,,,,,,,,,,,,83964158,Rebecca,$315.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,16954469,Michele,$314.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,44502437,Negra,$308.00,1,1.10%,,,,
,,,,,,,,,,,,,,,,,,37935472,Elisa,$305.00,1,1.40%,,,,
,,,,,,,,,,,,,,,,,,262820116,Robert,$300.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,183204308,Peter,$300.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,45005719,Nia,$300.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,23388169,Jessica,$300.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,467283,Claudine,$300.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,39633488,Dee,$299.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,311214956,Ryan,$297.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,11132682,Jamil,$297.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,8730042,Tim,$297.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,39377074,Apo,$296.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,289887688,Rehain,$292.00,1,1.10%,,,,
,,,,,,,,,,,,,,,,,,19007308,Luca,$290.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,32265481,Neena,$287.00,1,1.90%,,,,
,,,,,,,,,,,,,,,,,,5592355,Ink,$285.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,273577115,Steven,$280.00,1,1.90%,,,,
,,,,,,,,,,,,,,,,,,40317143,Zsofia,$280.00,1,1.90%,,,,
,,,,,,,,,,,,,,,,,,3939904,Zaid,$280.00,1,1.90%,,,,
,,,,,,,,,,,,,,,,,,35645401,Adam,$276.00,1,1.10%,,,,
,,,,,,,,,,,,,,,,,,3333344,Russell,$276.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,26975461,Jason,$275.00,1,1.40%,,,,
,,,,,,,,,,,,,,,,,,3097566,2Best,$275.00,1,1.40%,,,,
,,,,,,,,,,,,,,,,,,189825788,Ludyme,$270.00,1,1.60%,,,,
,,,,,,,,,,,,,,,,,,5637697,Jill,$270.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,837274,Tina And Jay,$270.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,1577961,Oona,$268.00,1,1.10%,,,,
,,,,,,,,,,,,,,,,,,23991556,Natasha,$267.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,54348871,Suzette,$263.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,22332037,Bridget,$262.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,120298130,Coco,$259.00,1,1.90%,,,,
,,,,,,,,,,,,,,,,,,13795689,Juliette,$258.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,310776840,Alejandra,$255.00,1,1.40%,,,,
,,,,,,,,,,,,,,,,,,153988027,Zain,$255.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,185409557,Carl,$252.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,171123415,Hector,$252.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,35099904,Stephen,$252.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,352388925,Steven,$250.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,268868462,Duane,$250.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,130771476,Marilin,$250.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,53097567,Tiffany,$250.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,47602780,Steve And Jeri,$250.00,2,0.15%,,,,
,,,,,,,,,,,,,,,,,,38387468,Janet,$250.00,1,1.40%,,,,
,,,,,,,,,,,,,,,,,,3200626,Louisa,$250.00,1,1.40%,,,,
,,,,,,,,,,,,,,,,,,34024330,Alohana Realty Llc,$248.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,361988565,Powered By Jurny,$244.00,1,1.10%,,,,
,,,,,,,,,,,,,,,,,,12769449,Nathan,$243.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,223375402,Creative Spaces,$240.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,41210742,Cory,$240.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,40406696,Michelle,$240.00,1,2.20%,,,,
,,,,,,,,,,,,,,,,,,20128369,Gail,$240.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,1728785,Veronika,$240.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,1136313,Laurie,$240.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,36128270,Juanita,$234.00,1,2.50%,,,,
,,,,,,,,,,,,,,,,,,132485563,Ali,$230.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,87843535,La,$230.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,16186589,Marie,$228.00,1,1.60%,,,,
,,,,,,,,,,,,,,,,,,64823547,Brenna,$225.00,1,1.40%,,,,
,,,,,,,,,,,,,,,,,,48873476,Hostel Fish,$225.00,2,0.70%,,,,
,,,,,,,,,,,,,,,,,,241266589,Cristina,$220.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,176984504,Ira,$220.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,44534342,Faith,$220.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,239746294,Jennifer And Nick,$210.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,38990538,Phil,$204.00,1,1.60%,,,,
,,,,,,,,,,,,,,,,,,34410990,Glecy,$204.00,1,1.10%,,,,
,,,,,,,,,,,,,,,,,,178109457,Marty,$200.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,134726268,Jodi,$200.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,31669178,Donna,$200.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,30739353,Laura,$200.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,26415767,Christopher,$200.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,12013153,Danny,$200.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,30219359,Eric,$199.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,49213071,Maor,$198.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,133004690,Linda,$192.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,82111391,Matt,$192.00,1,1.10%,,,,
,,,,,,,,,,,,,,,,,,10851572,Debbie,$190.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,354853676,Ken,$189.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,129052535,Mandy,$189.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,40408537,Joshua,$183.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,70806258,Nate,$181.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,183045748,Ido,$180.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,146477617,Thomas Lisa,$180.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,139357580,Shuly,$180.00,1,1.10%,,,,
,,,,,,,,,,,,,,,,,,48782812,Clare,$180.00,1,1.60%,,,,
,,,,,,,,,,,,,,,,,,4407238,Najat,$180.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,770719,Claude,$180.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,62937395,Tara,$179.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,4912146,Deacon,$179.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,72712289,Olive,$176.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,152506197,Lucie,$175.00,1,1.40%,,,,
,,,,,,,,,,,,,,,,,,74605381,Best Location Views,$175.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,20400305,Dee,$175.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,9688645,Kevin,$175.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,225650175,Adrienne,$174.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,54559247,Justin,$174.00,1,1.60%,,,,
,,,,,,,,,,,,,,,,,,241126473,Marilyn,$170.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,14343052,Aubrey,$170.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,3599030,Julianna,$170.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,984791,Carol,$170.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,195045351,Ursula,$165.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,48172728,Vacay,$165.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,263018520,Ira,$161.00,1,1.90%,,,,
,,,,,,,,,,,,,,,,,,278008181,Shiela,$160.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,8851608,Scott,$160.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,39601665,Jordan,$159.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,221919097,Pimchada,$158.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,29392034,Deanna,$157.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,131697576,Anisha,$150.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,74395854,Katie,$150.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,47143366,Ken,$150.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,39835878,Tuba,$150.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,28414787,Rosangela,$150.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,20070817,Ken,$150.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,47979863,Richelle,$149.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,91744093,Avner,$147.00,2,0.95%,,,,
,,,,,,,,,,,,,,,,,,6562223,Mariano,$146.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,334495442,Jose,$140.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,49632783,Jack,$140.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,9161433,Nels,$140.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,96724884,Violet,$139.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,224314967,Yesi - Vernica,$138.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,6524762,Armstrong,$137.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,326584843,Myriam Yamith,$135.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,133356913,Jerome,$135.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,31884399,Daniel,$135.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,121924373,Gayle,$130.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,44505972,Brian,$130.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,7578539,Paul,$126.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,173251803,Marcus Rafael Virginia,$125.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,62353986,Joseph,$125.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,61965202,Hamsini,$125.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,195071446,Gene,$123.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,313986292,Mayerlin,$120.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,263841933,Angel,$120.00,1,1.10%,,,,
,,,,,,,,,,,,,,,,,,162794813,Not Specified,$120.00,1,1.10%,,,,
,,,,,,,,,,,,,,,,,,162127741,Roger,$120.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,29347194,Rachid,$120.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,347825391,Maui Suncoast,$119.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,333474028,Desert Oasis,$117.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,308799237,Lucy,$116.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,48418480,Robert,$114.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,303939,Lissette,$114.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,7723912,Fj,$113.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,2021121,Megan,$111.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,131200418,Lois,$110.00,3,0.17%,,,,
,,,,,,,,,,,,,,,,,,116874533,Bertin,$110.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,344272542,Joe,$108.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,211877039,Kirk Ruth,$108.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,4591564,Tracy,$105.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,51024366,Marie,$104.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,42561290,Carla,$102.00,1,0.80%,,,,
,,,,,,,,,,,,,,,,,,166004722,Wang,$100.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,67241410,Smil E-Realty,$100.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,56873926,Tanya,$99.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,52611503,Marty And Melissa,$99.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,9770738,Dexter,$99.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,156094545,Sogo,$96.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,40426550,Kagan,$95.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,37030218,Jose Manuel,$95.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,5375804,Elizabeth,$95.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,5340395,Carole,$95.00,2,0.15%,,,,
,,,,,,,,,,,,,,,,,,104296709,William,$92.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,30791331,Tsepak,$92.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,14513477,Cecilia And David,$90.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,80942071,Warren,$89.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,2588186,Massimo,$89.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,309770629,Daxes,$88.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,55178318,Farhana,$88.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,4863786,Mark,$86.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,108627610,Yolanda,$85.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,95931842,Sisi,$85.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,77355562,Anna,$85.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,9190174,Jay,$85.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,180283497,Michelle,$83.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,224204301,Tylor,$80.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,123506305,Kisha,$80.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,18818175,Diana,$80.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,3441034,Cynthia,$80.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,345396531,Terry,$79.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,88560026,Tracy,$79.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,12303714,Annabelle,$79.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,13711278,Julia,$78.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,60511673,Natie,$77.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,43365734,Alicia,$77.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,126174,Trueavenue,$77.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,201893473,Danielisa,$76.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,334159930,Angelina,$75.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,274791849,Lilibeth,$75.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,49293611,Gloria,$75.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,4040811,Vance,$75.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,3803570,Chris,$75.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,2904744,Fiona,$75.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,7128900,Jenny,$72.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,111627073,King,$70.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,48055483,Vincent,$70.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,16855791,Aj,$70.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,15577626,Jj,$70.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,6415261,John,$70.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,6829,Barrett,$70.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,78990301,Omar,$68.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,12908133,Jonelle,$68.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,1605656,Rafi,$68.00,3,0.30%,,,,
,,,,,,,,,,,,,,,,,,126656771,Hannah,$65.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,1863715,Lillian,$65.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,28422675,Henry,$64.00,1,0.50%,,,,
,,,,,,,,,,,,,,,,,,3876092,Paulo,$64.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,1465373,Harold,$63.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,72926334,Iquane,$61.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,309149710,Farrah,$60.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,302726825,Vanessa,$60.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,290506839,Liberty,$60.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,100069789,Kenny,$60.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,53710434,Luisa,$60.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,191804394,Pnb,$59.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,53052399,Paul And Carmenza,$59.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,340101464,Sharedeasy,$58.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,262116941,Paul,$58.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,294545484,June,$56.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,48027087,Jacqueline,$56.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,13893897,Diana,$55.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,1848403,Marcy,$55.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,197751485,Carlos,$54.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,1345769,Wowa,$54.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,7091693,Madeline,$52.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,127527274,Not Specified,$50.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,52333313,Bayan,$50.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,38304048,Matt,$50.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,8186573,Vineeta,$50.00,3,0.10%,,,,
,,,,,,,,,,,,,,,,,,340130156,Mateus,$49.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,35342456,Roberto,$49.00,1,0.30%,,,,
,,,,,,,,,,,,,,,,,,3659692,Chanoma House,$48.00,1,0.30%,,,,
